Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
11 bit studios SA,259,-0.77,261.5,257.5,267,5576,1465089,2018-12-07
4Fun Media SA,12.5,-1.19,12.5,12.4,12.5,803,10003,2018-12-07
AB SA,17.05,-0.87,17.15,17,17.2,898,15403,2018-12-07
Abadon Real Estate SA,4.44,0,0,0,0,0,0,2018-12-06
ABC Data SA,0.82,0,0.82,0.82,0.84,93288,76956,2018-12-07
ABM Solid SA w upadłości układowej,4.56,-15.24,4.85,4.5,5,1332,6136,2018-12-07
AC SA,43,0.7,42.9,42.9,43,377,16174,2018-12-07
Action SA w restrukturyzacji,2.8,0,2.87,2.73,2.87,1013,2802,2018-12-07
Adiuvo Investments SA,9.3,-4.12,9.66,9.3,9.66,4470,42630,2018-12-07
Agora SA,10.7,0.47,11.6,10.65,11.6,3470,37843,2018-12-07
Agroton Plc,3.51,0.86,3.4,3.4,3.51,465,1596,2018-12-07
Ailleron SA,10.3,3,9.7,9.7,10.35,6434,64171,2018-12-07
Airway Medix SA,0.71,2.9,0.69,0.68,0.71,25253,17625,2018-12-07
Alchemia SA,4.7,0,4.76,4.62,4.76,13612,62922,2018-12-07
Alior Bank SA,54.85,-0.54,56,54.2,56,150642,8311416,2018-12-07
Alta SA,2.06,5.1,1.96,1.96,2.06,5003,9894,2018-12-07
Altus TFI SA,2.15,-4.44,2.15,2.06,2.19,88733,188891,2018-12-07
Alumetal SA,42.95,0.12,42.85,42.55,43.1,1758,75463,2018-12-07
Ambra SA,11.15,0,11.15,11.15,11.15,110,1227,2018-12-07
Amica SA,116.6,0.87,116,115.6,117.4,21314,2487328,2018-12-07
AmRest Holdings SE,40.5,1,39.45,39.45,40.8,91418,3680563,2018-12-07
Apator SA,25.2,3.7,24.9,24.9,25.5,3926,98698,2018-12-07
Aplisens SA,10.5,0,10.5,10.5,10.5,1,11,2018-12-07
APS Energia SA,2.34,0.43,2.34,2.34,2.34,1,2,2018-12-07
Archicom SA,11.9,0.85,11.9,11.9,11.9,2500,29750,2018-12-07
Arctic Paper SA,3.45,-1.43,3.46,3.45,3.49,13711,47449,2018-12-07
Arcus SA,1.3,0,0,0,0,0,0,2018-12-06
Arteria SA,5.68,-1.05,5.68,5.68,5.68,2,11,2018-12-07
Artifex Mundi SA,4.59,4.32,4.59,4.57,4.59,1837,8413,2018-12-07
ASBISc Enterprises PLC,2.74,1.86,2.69,2.69,2.75,38631,105311,2018-12-07
ASM Group SA,3.44,0,0,0,0,0,0,2018-12-06
Asseco BS SA,24.2,1.68,24.2,24.2,24.2,4,97,2018-12-07
Asseco Poland SA,47.06,-0.51,47.3,47.06,48,117538,5596690,2018-12-07
